word,Pozitivitate,Negativitate,Furie,Anticipare,Dezgust,Frica,Bucurie,Tristete,Surpriza,Incredere
a nega,0,1,0,0,0,0,0,1,0,0
abac,0,0,0,0,0,0,0,0,0,1
abandon,0,1,1,0,0,1,0,1,1,0
abandona,0,1,0,0,0,1,0,1,0,0
abandonat,0,1,1,0,0,1,0,1,0,0
abandonat,0,1,0,0,0,0,0,0,0,0
abate,0,1,0,0,0,0,0,0,0,0
abatere,0,0,0,0,0,0,0,1,0,0
abătut,0,1,0,0,0,0,0,1,0,0
abba,1,0,0,0,0,0,0,0,0,0
abces,0,1,0,0,0,0,0,1,0,0
aberant,0,1,0,0,0,0,0,0,0,0
aberație,0,1,0,0,1,0,0,0,0,0
abia,0,1,0,0,0,0,0,1,0,0
abil,1,0,0,0,0,0,0,0,0,0
abil,1,0,0,0,0,0,0,0,0,1
abilitate,1,0,0,0,0,0,0,0,0,0
abis,0,1,0,0,0,1,0,1,0,0
abisal,0,1,0,0,0,0,0,1,0,0
abject,0,1,0,0,1,0,0,0,0,0
abominabil,0,1,0,0,1,1,0,0,0,0
aborda,0,0,1,0,0,0,0,0,1,0
abraziune,0,1,0,0,0,0,0,0,0,0
abroga,0,1,0,0,0,0,0,0,0,0
abrupt,0,0,0,0,0,0,0,0,1,0
absent,0,1,0,0,0,0,0,1,0,0
absent,0,1,0,0,0,0,0,1,0,0
absență,0,1,0,0,0,1,0,1,0,0
absenteism,0,1,0,0,0,0,0,0,0,0
absolut,1,0,0,0,0,0,0,0,0,0
absolvire,1,0,0,1,0,1,1,0,1,1
absorbită,1,0,0,0,0,0,0,0,0,0
absurd,0,1,0,0,0,0,0,0,0,0
absurditate,0,1,0,0,0,0,0,0,0,0
abundent,1,0,0,0,0,0,1,0,0,0
abundență,1,1,0,1,1,0,1,0,0,1
abuz,0,1,1,0,1,1,0,1,0,0
abuza,0,1,1,0,1,0,0,0,0,0
ac,1,0,0,0,0,0,0,0,0,0
academic,1,0,0,0,0,0,0,0,0,1
academie,1,0,0,0,0,0,0,0,0,0
accelera,0,0,0,1,0,0,0,0,0,0
acceleratie,0,1,1,0,0,0,0,0,0,0
acceptabil,1,0,0,0,0,0,0,0,0,0
acceptare,1,0,0,0,0,0,0,0,0,0
accesibil,1,0,0,0,0,0,0,0,0,0
accesibil,1,0,0,1,0,0,0,0,0,0
accesoriu,1,0,0,0,0,0,0,0,0,0
accident,0,1,0,0,0,1,0,1,1,0
accidental,0,1,0,0,0,1,0,0,1,0
accidental,0,0,0,0,0,0,0,0,1,0
accidentat,0,1,0,0,0,0,0,0,0,0
accize,0,1,0,0,0,0,0,0,0,0
accueil,1,0,0,0,0,0,0,0,0,0
acid,0,1,0,0,0,0,0,0,0,0
acoladă,1,0,0,1,0,0,1,0,1,1
acompaniament,1,0,0,1,0,0,1,0,0,1
acoperi,0,0,0,0,0,0,0,0,0,1
acoperit de nori,0,1,0,0,0,0,0,0,0,0
acord,1,0,0,0,0,0,0,0,0,1
acord,1,0,0,0,0,0,0,0,0,1
acord,1,0,0,0,0,0,0,0,0,0
acorda,1,0,0,1,0,0,1,0,0,1
acordare,1,0,0,1,0,0,1,0,1,1
acordate,1,0,0,0,0,0,0,0,0,0
acreditare,1,0,0,0,0,0,0,0,0,1
acreditat,1,0,0,0,0,0,0,0,0,1
acrobat,1,0,0,0,0,1,1,0,0,1
acru,0,1,0,0,1,0,0,0,0,0
acțiune,1,0,0,0,0,0,0,0,0,0
acțiune,1,0,0,1,0,0,1,0,0,1
activare,1,0,0,0,0,0,0,0,0,1
acuitate,1,0,0,0,0,0,0,0,0,0
acuzând,0,1,1,0,0,1,0,0,0,0
acuzare,0,1,1,0,0,1,0,1,0,0
acuzat,0,1,1,0,0,1,0,0,0,0
acuzație,0,1,1,0,1,0,0,0,0,0
acuzativ,0,1,0,0,0,0,0,0,0,0
acuzator,0,1,1,0,0,1,0,0,0,0
adâncime,1,0,0,0,0,0,0,0,0,1
adăpost,1,0,0,0,0,0,0,0,0,1
adapta,1,0,0,0,0,0,0,0,0,0
adaptabil,1,0,0,0,0,0,0,0,0,0
adecvarea,1,0,0,0,0,0,0,0,0,0
ademenitor,1,0,0,0,0,0,0,0,0,0
adept,0,0,0,0,0,0,0,0,0,1
aderare,0,0,0,0,0,0,0,0,0,1
adevăr,1,0,0,0,0,0,0,0,0,1
adevărat,1,0,0,0,0,0,1,0,0,1
adipos,0,1,0,0,0,0,0,0,0,0
adjudeca,0,1,0,0,0,1,0,0,0,0
adjunct,1,0,0,0,0,0,0,0,0,0
administra,1,0,0,0,0,0,0,0,0,1
administrativ,0,0,0,0,0,0,0,0,0,1
admira,1,0,0,0,0,0,0,0,0,1
admirabil,1,0,0,0,0,0,1,0,0,1
admirație,1,0,0,0,0,0,1,0,0,1
admirator,1,0,0,0,0,0,0,0,0,0
admisibil,1,0,0,0,0,0,0,0,0,1
admisibil,1,0,0,0,0,0,0,0,0,0
admonestare,0,1,0,0,0,1,0,0,0,0
adora,1,0,0,1,0,0,1,0,0,1
adorabil,1,0,0,0,0,0,1,0,0,0
adorare,1,0,0,0,0,0,1,0,0,1
Adresele,1,0,0,1,0,0,0,0,0,0
adulter,0,1,0,0,1,0,0,1,0,0
adulter,0,1,0,0,0,0,0,0,0,0
advers,0,1,1,0,1,1,0,1,0,0
adversar,0,1,1,0,0,0,0,0,0,0
adversitate,0,1,1,0,0,1,0,1,0,0
aeroport,0,0,0,1,0,0,0,0,0,0
afabil,1,0,0,0,0,0,0,0,0,0
afacere,1,0,0,0,0,0,0,0,0,1
afacere,1,0,0,1,0,0,1,0,1,1
afectat,0,1,0,0,0,1,0,1,0,0
afecțiune,1,0,0,0,0,0,1,0,0,1
afemeiat,0,1,0,0,0,0,0,0,0,0
afemeiat,0,1,0,0,0,0,0,0,0,0
afide,0,1,0,0,1,0,0,0,0,0
